Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1993/09/14,Hopkins,MN,US,US,Boyd,Travis,C,WSH
1993/05/01,London,ON,CA,CA,DeMelo,Dylan,D,SJS
1999/09/13,Barrie,ON,CA,CA,Formenton,Alex,LW,OTT
1991/08/25,Loviisa,,FI,FI,Pakarinen,Iiro,RW,EDM
1987/09/22,Hull,QC,CA,CA,Brassard,Derick,C,"OTT, PIT"
1985/10/16,Calgary,AB,CA,CA,Beagle,Jay,RW/C,WSH
1993/03/23,Mlada Boleslav,,CZ,CZ,Hyka,Tomas,RW,VGK
1993/04/27,Brampton,ON,CA,CA,Graovac,Tyler,C,WSH
1993/08/13,Salem,NJ,US,US,Gaudreau,Johnny,LW,CGY
1997/01/25,Boston,MA,US,US,Hanifin,Noah,D,CAR
1995/05/11,Nizhnekamsk,,RO,RU,Valiev,Rinat,D,MTL
1996/12/09,Shelby Twp.,MI,US,US,Connor,Kyle,LW,WPG
1981/06/13,Mlada Boleslav,,CZ,CZ,Vrbata,Radim,RW,FLA
1997/01/30,Boston,MA,US,US,White,Colin,C,OTT
1997/04/06,Brno,,CZ,CZ,Zacha,Pavel,C,NJD
1997/01/13,Richmond Hill,ON,CA,CA,McDavid,Connor,C,EDM
1996/10/28,North Chelmsford,MA,US,US,Eichel,Jack,C,BUF
1993/01/10,Landshut,,DE,DE,Rieder,Tobias,RW/C,"ARI, LAK"
1996/10/29,Mississauga,ON,CA,CA,Dunn,Vince,D,STL
1996/12/22,Newmarket,ON,CA,CA,Dermott,Travis,D,TOR
1997/02/16,CAton,NY,US,US,Greenway,Jordan,LW,MIN
1996/10/08,Herisau,,CH,CH,Meier,Timo,RW,SJS
1992/11/24,Stockholm,,SE,SE,Claesson,Fredrik,D,OTT
1993/02/20,Milford,MI,US,US,Pietila,Blake,LW,NJD
1993/06/03,Eden Prairie,MN,US,US,Seeler,Nick,D,MIN
1996/12/14,Joliette,QC,CA,CA,Greer,A.J.,LW,COL
1993/01/20,Dublin,OH,US,US,Kuraly,Sean,C,BOS
1997/07/29,Edmonton,AB,CA,CA,Guhle,Brendan,D,BUF
1979/07/02,London,ON,CA,CA,Thornton,Joe,C,SJS
1997/07/26,Rauma,,FI,FI,Aho,Sebastian,RW,CAR
1991/07/20,Belleville,ON,CA,CA,Shaw,Andrew,RW,MTL
1996/10/31,Yuzhno-Sakhalinsk,,RU,RU,Svechnikov,Evgeny,RW,DET
1997/04/15,Chicago,IL,US,US,Fischer,Christian,RW,ARI
1992/11/16,Rochester,NY,US,US,Prince,Shane,LW,NYI
1993/07/11,Pittsburgh,PA,US,US,Trocheck,Vincent,C,FLA
1997/03/11,London,ON,CA,CA,Konecny,Travis,C,PHI
1997/03/07,Mississauga,ON,CA,CA,Strome,Dylan,C,ARI
1993/07/20,Belleville,ON,CA,CA,Cousins,Nick,C,ARI
1996/11/26,Colorado Springs,CO,US,US,Carlo,Brandon,D,BOS
1997/02/25,Burnsville,MN,US,US,Boeser,Brock,RW,VAN
1997/05/26,Coquitlam,BC,CA,CA,Barzal,Mathew,C,NYI
1997/05/23,Calgary,AB,CA,CA,Merkley,Nicholas,RW,ARI
1980/12/02,North York,ON,CA,CA,Ward,Joel,RW,SJS
1993/03/09,Richmond Hill,ON,CA,CA,Catenacci,Daniel,C,NYR
1991/07/06,Katrineholm,,SE,SE,Dahlbeck,Klas,D,CAR
1991/05/17,Pickering,ON,CA,CA,Andreoff,Andy,LW,LAK
1992/09/26,Denver,CO,US,US,Shore,Nick,C,"LAK, OTT, CGY"
1993/04/27,Duluth,MN,US,US,Welinski,Andy,D,ANA
1993/02/25,Belleville,ON,CA,CA,Quine,Alan,C,NYI
1997/01/29,Columbus,OH,US,US,Roslovic,Jack,C,WPG
1997/07/19,Grosse Pointe,MI,US,US,Werenski,Zach,D,CBJ
1997/02/05,Amos,QC,CA,CA,Roy,Nicolas,C,CAR
1992/10/24,Eden Prairie,MN,US,US,Rau,Kyle,C,MIN
1992/03/09,Wheaton,IL,US,US,Dzingel,Ryan,LW,OTT
1997/03/17,Amsterdam,,NLD,NLD,Sprong,Daniel,RW,PIT
1992/11/11,Ottawa,ON,CA,CA,Pageau,Jean-Gabriel,C,OTT
1997/01/30,Sainte-Marie,QC,CA,CA,Chabot,Thomas,D,OTT
1993/07/13,Chicago,IL,US,US,Reilly,Mike,D,"MIN, MTL"
1993/09/08,Lansing,MI,US,US,Boucher,Reid,C,VAN
1983/07/16,Winnipeg,MB,CA,CA,Keith,Duncan,D,CHI
1997/06/23,Mt. Brydges,ON,CA,CA,Crouse,Lawson,LW,ARI
1993/02/05,Calgary,AB,CA,CA,Rattie,Ty,RW,EDM
1993/02/08,Anaheim,CA,US,US,Grimaldi,Rocco,C,COL
1992/10/14,St. Louis,MO,US,US,Mayfield,Scott,D,NYI
1992/12/28,Kosice,,SK,SK,Jurco,Tomas,LW,CHI
1992/10/26,Niagara Falls,NY,US,US,Clendening,Adam,D,ARI
1993/06/15,Dorchester,ON,CA,CA,Jenner,Boone,C,CBJ
1997/05/05,Markham,ON,CA,CA,Marner,Mitchell,C,TOR
1993/03/23,Omsk,,RU,CZ,Jaskin,Dmitrij,RW,STL
1993/03/01,Leksand,,SE,SE,Rask,Victor,C,CAR
1992/10/27,Pittsburgh,PA,US,US,Saad,Brandon,LW,CHI
1993/07/01,Orangeville,ON,CA,CA,Ritchie,Brett,RW,DAL
1997/06/03,Prague,,CZ,CZ,Chlapik,Filip,C,OTT
1993/06/28,Brandon,MB,CA,CA,Edmundson,Joel,D,STL
1992/11/05,Long Beach,CA,US,US,Nieto,Matt,LW,COL
1993/07/29,Bayonne,,FR,FR,Ouellet,Xavier,D,DET
1993/01/07,Orangeville,ON,CA,CA,Mitchell,Zack,RW,MIN
1997/01/29,Karlstad,,SE,SE,Eriksson Ek,Joel,LW/C,MIN
1993/03/09,Raahe,,FI,FI,Salomaki,Miikka,RW,NSH
1993/01/08,Marsta,,SE,SE,Karlsson,William,C,VGK
1993/03/10,Kingston,ON,CA,CA,Harrington,Scott,D,CBJ
1993/01/13,Mississauga,ON,CA,CA,Sproul,Ryan,D,NYR
1997/01/13,Yaroslavl,,RU,RU,Provorov,Ivan,D,PHI
1993/06/17,Maykop,,RU,RU,Kucherov,Nikita,RW,TBL
1993/04/12,Burnaby,BC,CA,CA,Nugent-Hopkins,Ryan,C,EDM
1992/11/23,Stockholm,,SE,SE,Landeskog,Gabriel,LW,COL
1993/06/04,Saint-Jerome,QC,CA,CA,Huberdeau,Jonathan,LW,FLA
1992/11/12,Skellefteå,,SE,SE,Larsson,Adam,D,EDM
1997/01/02,Orebro,,SE,SE,Carlsson,Gabriel,D,CBJ
1993/04/18,Huddinge,,SE,SE,Zibanejad,Mika,C,NYR
1993/03/15,Kitchener,ON,CA,CA,Scheifele,Mark,C,WPG
1992/12/07,Phoenix,AZ,US,CA,Couturier,Sean,C,PHI
1993/06/17,Toronto,ON,CA,CA,Hamilton,Dougie,D,CGY
1993/07/12,Karlstad,,SE,SE,Brodin,Jonas,D,MIN
1993/09/07,Edmonton,AB,CA,CA,Siemens,Duncan,D,COL
1993/03/31,Aurora,ON,CA,CA,Murphy,Ryan,D,MIN
1992/10/05,Bern,,CH,CH,Baertschi,Sven,LW,VAN
1992/12/21,Toronto,ON,CA,CA,Oleksiak,Jamie,D,"DAL, PIT"
1993/03/14,East Palestine,OH,US,US,Miller,J.T.,LW/C,"NYR, TBL"
1993/05/31,Pori,,FI,FI,Armia,Joel,RW,WPG
1992/12/05,Strathroy,ON,CA,CA,Beaulieu,Nathan,D,BUF
1997/07/15,Etobicoke,ON,CA,CA,Cirelli,Anthony,C,TBL
1993/07/20,Karlstad,,SE,SE,Klefbom,Oscar,D,EDM
1993/03/26,Dublin,OH,US,US,Murphy,Connor,D,CHI
1993/02/12,Plano,TX,US,US,Noesen,Stefan,RW,NJD
1992/12/09,Edmonton,AB,CA,CA,Morrow,Joe,D,"MTL, WPG"
1982/10/30,Trenton,MI,US,US,Greene,Andy,D,NJD
1993/02/24,Victoriaville,QC,CA,CA,Danault,Phillip,LW/C,MTL
1992/07/24,Hancock,MI,US,US,Kero,Tanner,RW/C,CHI
1993/05/05,Sundbyberg,,SE,SE,Rakell,Rickard,C,ANA
1979/05/02,Edmonton,AB,CA,CA,Chimera,Jason,LW,"NYI, ANA"
1993/03/26,Helsinki,,FI,FI,Hannikainen,Markus,LW,CBJ
1993/07/28,Toronto,ON,CA,CA,Rodrigues,Evan,LW,BUF
1993/01/04,Wallaceburg,ON,CA,CA,Griffith,Seth,C,BUF
1977/12/11,Bern,,CH,CH,Streit,Mark,D,MTL
1981/04/11,Pincourt,QC,CA,CA,Burrows,Alexandre,RW,OTT
1996/03/13,Calgary,AB,CA,CA,Point,Brayden,C,TBL
1990/06/13,Bærum,,NO,NO,Martinsen,Andreas,LW,CHI
1993/07/08,Volketswil,,CH,CH,Kukan,Dean,D,CBJ
1991/12/01,Johnston,RI,US,US,Acciari,Noel,C,BOS
1999/01/04,Brig,,CH,CH,Hischier,Nico,C,NJD
1992/10/29,Sault Ste. Marie,ON,CA,CA,Miller,Colin,D,VGK
1986/12/29,Spokane,WA,US,US,Ryan,Derek,C,CAR
1990/12/27,Cap-Rouge,QC,CA,CA,Marchessault,Jonathan,C,VGK
1984/11/13,White Rock,BC,CA,CA,Garrison,Jason,D,VGK
1991/07/16,St. Cloud,MN,US,US,Schmidt,Nate,D,VGK
1994/11/21,Gävle,,SE,SE,Johnsson,Andreas,LW,TOR
1990/07/29,Spokane,WA,US,US,Johnson,Tyler,C,TBL
1989/12/08,London,ON,CA,CA,Doughty,Drew,D,LAK
1990/02/07,Markham,ON,CA,CA,Stamkos,Steven,C,TBL
1990/01/18,King City,ON,CA,CA,Pietrangelo,Alex,D,STL
1990/07/15,Massena,NY,US,US,Bogosian,Zach,D,BUF
1989/11/02,Saskatoon,SK,CA,CA,Schenn,Luke,D,ARI
1989/10/20,Greenwich,CT,US,US,Wilson,Colin,C,COL
1989/12/16,Brondby,,DK,DK,Boedker,Mikkel,LW,SJS
1989/10/02,Bowmanville,ON,CA,CA,Bailey,Josh,RW,NYI
1990/02/01,Houston,TX,US,CA,Myers,Tyler,D,WPG
1993/02/26,Toronto,ON,CA,CA,Goodrow,Barclay,RW,SJS
1990/05/31,Landsbro,,SE,SE,Karlsson,Erik,D,OTT
1990/01/30,Ozieri,,IT,CH,Sbisa,Luca,D,VGK
1996/10/29,Nousiainen,,FI,FI,Rantanen,Mikko,RW,COL
1990/07/04,Minnetonka,MN,US,US,Gardiner,Jake,D,TOR
1994/05/25,Edmonton,AB,CA,CA,Benning,Matt,D,EDM
1990/06/24,Stouffville,ON,CA,CA,Del Zotto,Michael,D,VAN
1990/05/15,Regina,SK,CA,CA,Eberle,Jordan,RW/C,NYI
1989/10/06,Edmonton,AB,CA,CA,Ennis,Tyler,LW,MIN
1990/01/10,Natick,MA,US,US,Carlson,John,D,WSH
1990/06/01,Bern,,CH,CH,Josi,Roman,D,NSH
1990/07/06,Kelowna,BC,CA,CA,Schultz,Justin,D,PIT
1990/05/18,Roseau,MN,US,US,Ness,Aaron,D,WSH
1989/11/01,Paris,ON,CA,CA,Dalpe,Zac,C,CBJ
1990/08/16,St. Malo,MB,CA,CA,Hamonic,Travis,D,CGY
1990/06/18,Hastings,MN,US,US,Stepan,Derek,C,ARI
1996/02/04,STILLWATER,MN,US,US,Reinke,Mitch,D,STL
1995/06/14,BELLMAWR,NJ,US,US,Robinson,Eric,LW,CBJ
1998/09/20,Lantzville,BC,CA,CA,Ferguson,Dylan,G,VGK
1982/09/18,Banská Bystrica,,SK,SK,Budaj,Peter,G,TBL
1990/03/02,Barrie,ON,CA,CA,Hutchinson,Michael,G,WPG
1988/01/05,Norrtälje,,SE,SE,Lack,Eddie,G,"CGY, NJD"
1988/02/11,Surrey,BC,CA,CA,Hammond,Andrew,G,COL
1989/09/16,Lloydminster,SK,CA,CA,Holtby,Braden,G,WSH
1988/09/20,Novokuznetsk,,RU,RU,Bobrovsky,Sergei,G,CBJ
1988/12/22,Newport News,VA,US,US,Darling,Scott,G,CAR
1991/11/05,Perth,ON,CA,CA,Coreau,Jared,G,DET
1980/07/17,East Lansing,MI,US,US,Miller,Ryan,G,ANA
1990/04/27,Holliston,MA,US,US,Condon,Mike,G,OTT
1990/03/19,Lulea,,SE,SE,Nilsson,Anders,G,VAN
1993/12/18,Lakeville,MN,US,US,Lindgren,Charlie,G,MTL
1984/11/28,Sorel,QC,CA,CA,Fleury,Marc-Andre,G,VGK
1992/04/15,Moncton,NB,CA,CA,Pickard,Calvin,G,TOR
1987/07/05,Caledonia,ON,CA,CA,Talbot,Cam,G,EDM
1989/07/04,Farmingville,NY,US,US,Kinkaid,Keith,G,NJD
1983/04/11,St. Louis,MO,US,US,McKenna,Mike,G,DAL
1991/07/24,Gothenburg,,SE,SE,Lehner,Robin,G,BUF
1992/12/09,Baudette,MN,US,US,Lyon,Alex,G,PHI
1991/07/13,Repentigny,QC,CA,CA,Berube,J-F,G,CHI
1982/03/22,Kingston,ON,CA,CA,Smith,Mike,G,CGY
1989/05/12,Rauma,,FI,FI,Raanta,Antti,G,ARI
1984/12/31,Montreal,QC,CA,CA,Crawford,Corey,G,CHI
1983/11/16,Helsinki,,FI,FI,Lehtonen,Kari,G,DAL
1996/02/10,Ruse,,BG,RU,Georgiev,Alexandar,G,NYR
1987/08/16,Anahim Lake,BC,CA,CA,Price,Carey,G,MTL
1984/03/26,Syracuse,NY,US,US,Howard,Jimmy,G,DET
1983/05/23,London,ON,CA,CA,McElhinney,Curtis,G,TOR
1992/01/09,Port Huron,MI,US,US,Campbell,Jack,G,LAK
1987/03/10,Savonlinna,,FI,FI,Rask,Tuukka,G,BOS
1993/03/23,Port Alberni,BC,CA,CA,Brossoit,Laurent,G,EDM
1992/08/14,Brampton,ON,CA,CA,Wedgewood,Scott,G,ARI
1987/08/31,Kladno,,CZ,CZ,Pavelec,Ondrej,G,NYR
1994/06/20,Rancho Cucamonga,CA,US,US,Delia,Collin,G,CHI
1992/11/26,South St. Paul,MN,US,US,Wilcox,Adam,G,BUF
1990/05/05,Saskatoon,SK,CA,CA,Kuemper,Darcy,G,"LAK, ARI"
1985/02/13,Chicago,IL,US,US,Montoya,Al,G,"MTL, EDM"
1992/11/27,Härnösand,,SE,SE,Forsberg,Anton,G,CHI
1986/01/21,Milford,CT,US,US,Quick,Jonathan,G,LAK
1991/11/25,Rosenheim,,DE,DE,Grubauer,Philipp,G,WSH
1986/05/04,Regina,SK,CA,CA,Dubnyk,Devan,G,MIN
1994/02/28,Stockholm,,SE,SE,Dansk,Oscar,G,VGK
1992/03/06,St-Hyacinthe,QC,CA,CA,Domingue,Louis,G,"ARI, TBL"
1986/11/21,Denver,CO,US,US,Bishop,Ben,G,DAL
1986/03/18,Marblehead,MA,US,US,Schneider,Cory,G,NJD
1993/12/21,Toronto,ON,CA,CA,Subban,Malcolm,G,VGK
1992/02/14,Ostrava,,CZ,CZ,Mrazek,Petr,G,"DET, PHI"
1982/03/02,Are,,SE,SE,Lundqvist,Henrik,G,NYR
1994/07/25,Tyumen,,RU,RU,Vasilevskiy,Andrei,G,TBL
1979/04/04,Montreal,QC,CA,CA,Luongo,Roberto,G,FLA
1987/07/28,St. Paul,MN,US,US,Stalock,Alex,G,MIN
1994/05/25,Thunder Bay,ON,CA,CA,Murray,Matt,G,PIT
1994/01/22,Concord,NH,US,US,Gillies,Jon,G,CGY
1989/10/02,Herning,,DK,DK,Andersen,Frederik,G,TOR
1995/04/19,Forssa,,FI,FI,Saros,Juuse,G,NSH
1994/04/28,Pori,,FI,FI,Korpisalo,Joonas,G,CBJ
1995/04/10,North Bay,ON,CA,CA,Appleby,Ken,G,NJD
1989/12/29,Toijala,,FI,FI,Sateri,Harri,G,FLA
1985/11/19,Calgary,AB,CA,CA,Glass,Jeff,G,CHI
1992/08/19,Jihlava,,CZ,CZ,Rittich,David,G,CGY
1990/01/10,North Vancouver,BC,CA,CA,Jones,Martin,G,SJS
1986/01/29,Fussen,,DE,DE,Greiss,Thomas,G,NYI
1995/12/08,San Diego,CA,US,US,Demko,Thatcher,G,VAN
1993/05/19,Commerce,MI,US,US,Hellebuyck,Connor,G,WPG
1993/07/14,Pittsburgh,PA,US,US,Gibson,John,G,ANA
1995/04/29,Surrey,BC,CA,CA,Jarry,Tristan,G,PIT
1992/12/27,Karkkila,,FI,FI,Gibson,Christopher,G,NYI
1996/05/11,Comox,BC,CA,CA,Hill,Adin,G,ARI
1996/03/29,Traverse City,MI,US,US,Halverson,Brandon,G,NYR
1995/07/06,Edmonton,AB,CA,CA,Comrie,Eric,G,WPG
1984/02/29,Saskatoon,SK,CA,CA,Ward,Cam,G,CAR
1988/03/23,Ústí nad Labem,,CZ,CZ,Neuvirth,Michal,G,PHI
1994/07/22,Moravska Trebova,,CZ,CZ,Langhamer,Marek,G,ARI
1993/07/31,Lugnvik,,SE,SE,Ullmark,Linus,G,BUF
1985/05/13,Bratislava,,SK,SK,Halak,Jaroslav,G,NYI
1986/06/10,Saskatoon,SK,CA,CA,Johnson,Chad,G,BUF
1993/01/12,Saint-Augustin,QC,CA,CA,Lagace,Maxime,G,VGK
1985/04/09,Newmarket,ON,CA,CA,Elliott,Brian,G,PHI
1988/05/29,Oakville,ON,CA,CA,Mason,Steve,G,WPG
1986/05/07,Ust-Kamenogorsk,,KAZ,RU,Khudobin,Anton,G,BOS
1986/04/28,Plymouth,,GB,GB,Taylor,Daniel,G,OTT
1987/01/03,Bulach,,CH,CH,Berra,Reto,G,ANA
1988/03/15,Morweena,MB,CA,CA,Reimer,James,G,FLA
1982/01/17,Sarnia,ON,CA,CA,Foster,Scott,G,CHI
1982/11/03,Kempele,,FI,FI,Rinne,Pekka,G,NSH
1983/08/29,Vantaa,,FI,FI,Niemi,Antti,G,"PIT, FLA, MTL"
1988/08/07,Laval,QC,CA,CA,Bernier,Jonathan,G,COL
1991/08/13,Rochester,NH,US,US,DeSmith,Casey,G,PIT
1990/01/31,Gävle,,SE,SE,Markstrom,Jacob,G,VAN
1990/08/07,Fredericton,NB,CA,CA,Allen,Jake,G,STL
1985/12/19,Thunder Bay,ON,CA,CA,Hutton,Carter,G,STL
1988/04/27,Samara,,RU,RU,Varlamov,Semyon,G,COL
1981/05/21,Park Ridge,IL,US,US,Anderson,Craig,G,OTT
1989/05/04,Airdrie,AB,CA,CA,Dell,Aaron,G,SJS
