Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1994/02/02,Vaxjo,,SE,SE,Rosen,Calle,D,TOR
1997/06/26,Regina,SK,CA,CA,Bear,Ethan,D,EDM
1983/10/03,Toronto,ON,CA,CA,Giordano,Mark,D,CGY
1989/07/12,Ottawa,ON,CA,CA,Borowiecki,Mark,D,OTT
1986/06/08,Bojnice,,SK,SK,Sekera,Andrej,D,EDM
1997/04/02,Surrey,BC,CA,CA,Juulsen,Noah,D,MTL
1990/02/01,Fort Lauderdale,FL,US,US,Megna,Jayson,C,VAN
1990/02/23,Montreal,QC,CA,CA,Scandella,Marco,D,BUF
1980/09/26,Ornskoldsvik,,SE,SE,Sedin,Daniel,LW,VAN
1980/09/26,Ornskoldsvik,,SE,SE,Sedin,Henrik,C,VAN
1986/03/19,Regina,SK,CA,CA,Bozak,Tyler,C,TOR
1993/05/26,Innisfil,ON,CA,CA,Leivo,Josh,LW,TOR
1996/04/04,Toronto,ON,CA,CA,Mangiapane,Andrew,LW,CGY
1991/08/20,Grande Prairie,AB,CA,CA,Fritz,Tanner,C,NYI
1986/09/14,Laurier-Station,QC,CA,CA,Desharnais,David,C,NYR
1997/06/08,Sorel-Tracy,QC,CA,CA,Beauvillier,Anthony,LW/C,NYI
1985/03/09,Barrie,ON,CA,CA,Burns,Brent,D,SJS
1984/01/19,Edmonton,AB,CA,CA,Boychuk,Johnny,D,NYI
1990/09/29,Lakeville,MN,US,US,Schroeder,Jordan,LW,CBJ
1990/10/06,Landskrona,,SE,SE,Johansson,Marcus,LW,NJD
1991/02/01,Smithtown,NY,US,US,Palmieri,Kyle,RW,NJD
1992/11/01,Geneva,IL,US,US,Lappin,Nick,RW,NJD
1991/08/08,Trail,BC,CA,CA,Ferraro,Landon,C,MIN
1991/02/07,Clinton,ON,CA,CA,O'Reilly,Ryan,C,BUF
1984/08/14,Kelowna,BC,CA,CA,Gorges,Josh,D,BUF
1991/01/13,Ayr,ON,CA,CA,Clifford,Kyle,LW,LAK
1990/10/01,Montreal,QC,CA,CA,Chiasson,Alex,RW,WSH
1990/10/13,Gävle,,SE,SE,Silfverberg,Jakob,RW,ANA
